date,transaction_id,product_id,product_name,category,store,quantity,unit_price,payment_method
2026-01-08,T1099,P002,Rooibos Tea 100g,Beverages,Sandton,9,55.0,EFT
2026-01-17,T1100,P006,Full Cream Milk 2L,Dairy,Rosebank,5,34.0,Cash
2026-06-03,T1101,P010,Beef Mince 1kg,Meat,Rosebank,4,135.0,Card
2026-03-25,T1102,P008,Tomatoes 1kg,Produce,Sandton,2,30.0,Mobile
2026-03-09,T1103,P010,Beef Mince 1kg,Meat,Sandton,5,135.0,EFT
2026-05-02,T1104,P008,Tomatoes 1kg,Produce,Rosebank,2,30.0,EFT
2026-06-24,T1105,P008,Tomatoes 1kg,Produce,Soweto,15,30.0,Card
2026-01-18,T1106,P002,Rooibos Tea 100g,Beverages,Pretoria,13,55.0,EFT
2026-03-09,T1107,P004,Croissant,Bakery,Soweto,3,22.5,Mobile
2026-05-10,T1108,P009,Chicken Breasts 1kg,Meat,Soweto,6,120.0,Mobile
2026-04-14,T1109,P006,Full Cream Milk 2L,Dairy,Rosebank,3,34.0,Mobile
2026-02-26,T1110,P006,Full Cream Milk 2L,Dairy,Soweto,13,34.0,Mobile
2026-06-01,T1111,P007,Bananas 1kg,Produce,Rosebank,4,24.0,Mobile
2026-05-26,T1112,P003,Whole Wheat Bread,Bakery,Soweto,7,28.0,EFT
2026-01-31,T1113,P006,Full Cream Milk 2L,Dairy,Pretoria,5,34.0,EFT
2026-02-07,T1114,P009,Chicken Breasts 1kg,Meat,Soweto,11,120.0,Cash
2026-03-26,T1115,P003,Whole Wheat Bread,Bakery,Sandton,9,28.0,EFT
2026-03-17,T1116,P010,Beef Mince 1kg,Meat,Pretoria,8,135.0,Mobile
2026-01-06,T1117,P009,Chicken Breasts 1kg,Meat,Soweto,12,120.0,Mobile
2026-03-28,T1118,P002,Rooibos Tea 100g,Beverages,Pretoria,11,55.0,Cash
2026-04-19,T1119,P006,Full Cream Milk 2L,Dairy,Soweto,11,34.0,Card
03/15/2026,T1120,P003,Whole Wheat Bread,Bakery,Soweto,1,28.0,EFT
2026-02-03,T1121,P006,Full Cream Milk 2L,Dairy,Pretoria,10,34.0,Mobile
2026-05-04,T1122,P006,Full Cream Milk 2L,Dairy,Sandton,1,34.0,Cash
2026-06-12,T1123,P002,Rooibos Tea 100g,Beverages,Soweto,11,55.0,EFT
2026-01-05,T1124,P004,Croissant,Bakery,Pretoria,13,22.5,EFT
2026-06-09,T1125,P006,Full Cream Milk 2L,Dairy,Rosebank,2,34.0,Card
2026-01-25,T1126,P003,Whole Wheat Bread,Bakery,Rosebank,6,28.0,Mobile
2026-02-22,T1127,P010,Beef Mince 1kg,Meat,Rosebank,11,135.0,EFT
2026-01-22,T1128,P010,Beef Mince 1kg,Meat,Rosebank,7,135.0,Card
2026-01-08,T1129,P005,Cheddar Cheese 500g,Dairy,Sandton,7,95.0,Cash
2026-05-21,T1130,P009,Chicken Breasts 1kg,Meat,Pretoria,4,120.0,EFT
2026-03-29,T1131,P006,Full Cream Milk 2L,Dairy,Pretoria,6,34.0,EFT
2026-05-06,T1132,P006,Full Cream Milk 2L,Dairy,Soweto,14,34.0,Card
2026-06-14,T1133,P008,Tomatoes 1kg,Produce,Sandton,3,30.0,Mobile
2026-04-04,T1134,P005,Cheddar Cheese 500g,Dairy,Pretoria,14,95.0,Cash
2026-04-05,T1135,P005,Cheddar Cheese 500g,Dairy,Pretoria,9,95.0,EFT
2026-02-25,T1136,P010,Beef Mince 1kg,Meat,Pretoria,1,135.0,Card
2026-06-15,T1137,P009,Chicken Breasts 1kg,Meat,Soweto,11,120.0,Mobile
2026-06-07,T1138,P002,Rooibos Tea 100g,Beverages,Soweto,14,55.0,Mobile
2026-03-23,T1139,P006,Full Cream Milk 2L,Dairy,Rosebank,6,34.0,Card
2026-05-24,T1140,P003,Whole Wheat Bread,Bakery,Soweto,13,28.0,Mobile
2026-06-11,T1141,P002,Rooibos Tea 100g,Beverages,Rosebank,15,55.0,Card
2026-04-29,T1142,P004,Croissant,Bakery,Pretoria,4,22.5,Cash
2026-05-12,T1143,P004,Croissant,Bakery,Soweto,13,22.5,Mobile
2026-02-04,T1144,P009,Chicken Breasts 1kg,Meat,Soweto,11,120.0,EFT
2026-06-16,T1145,P007,Bananas 1kg,Produce,Rosebank,9,24.0,Cash
2026-06-05,T1146,P009,Chicken Breasts 1kg,Meat,Rosebank,12,120.0,Cash
2026-02-03,T1147,P010,Beef Mince 1kg,Meat,Sandton,1,135.0,EFT
2026-03-18,T1148,P003,Whole Wheat Bread,Bakery,Soweto,3,28.0,EFT
2026-02-02,T1149,P008,Tomatoes 1kg,Produce,Rosebank,3,30.0,Card
2026-02-17,T1150,P003,Whole Wheat Bread,Bakery,Pretoria,7,28.0,Card
2026-03-18,T1151,P004,Croissant,Bakery,Soweto,9,22.5,Card
2026-04-30,T1152,P007,Bananas 1kg,Produce,Soweto,3,24.0,Cash
2026-05-11,T1153,P001,Coffee Beans 1kg,Beverages,Sandton,8,180.0,Card
2026-01-25,T1154,P006,Full Cream Milk 2L,Dairy,Soweto,10,34.0,EFT
2026-01-08,T1155,P003,Whole Wheat Bread,Bakery,Rosebank,9,28.0,Card
2026-04-19,T1156,P007,Bananas 1kg,Produce,Rosebank,4,24.0,Cash
2026-02-27,T1157,P008,Tomatoes 1kg,Produce,Soweto,4,30.0,Cash
2026-05-18,T1158,P007,Bananas 1kg,Produce,Pretoria,12,24.0,Mobile
2026-04-03,T1159,P004,Croissant,Bakery,Pretoria,5,22.5,Mobile
2026-01-24,T1160,P004,Croissant,Bakery,Rosebank,12,22.5,Card
2026-01-21,T1161,P006,Full Cream Milk 2L,Dairy,Rosebank,12,34.0,Card
2026-02-14,T1162,P004,Croissant,Bakery,Pretoria,11,22.5,Cash
2026-04-20,T1163,P001,Coffee Beans 1kg,Beverages,Rosebank,9,180.0,EFT
2026-03-15,T1164,P006,Full Cream Milk 2L,Dairy,Sandton,7,34.0,Mobile
2026-05-14,T1165,P008,Tomatoes 1kg,Produce,Soweto,15,30.0,EFT
2026-05-05,T1166,P003,Whole Wheat Bread,Bakery,Rosebank,2,28.0,Cash
2026-04-02,T1167,P008,Tomatoes 1kg,Produce,Sandton,7,30.0,EFT
2026-03-07,T1168,P002,Rooibos Tea 100g,Beverages,Pretoria,8,55.0,EFT
2026-05-20,T1169,P009,Chicken Breasts 1kg,Meat,Sandton,14,120.0,EFT
2026-03-17,T1170,P001,Coffee Beans 1kg,Beverages,Sandton,2,180.0,Card
2026-05-16,T1171,P008,Tomatoes 1kg,Produce,Sandton,10,30.0,Mobile
2026-06-15,T1172,P010,Beef Mince 1kg,Meat,Pretoria,8,135.0,Card
2026-02-09,T1173,P006,Full Cream Milk 2L,Dairy,Sandton,3,34.0,Card
2026-04-11,T1174,P002,Rooibos Tea 100g,Beverages,Soweto,3,55.0,Card
2026-01-12,T1175,P002,Rooibos Tea 100g,Beverages,Sandton,13,55.0,EFT
2026-02-09,T1176,P005,Cheddar Cheese 500g,Dairy,Rosebank,8,95.0,EFT
2026-04-30,T1177,P004,Croissant,Bakery,Rosebank,7,22.5,EFT
2026-04-18,T1178,P001,Coffee Beans 1kg,Beverages,Rosebank,8,180.0,Cash
2026-04-23,T1179,P004,Croissant,Bakery,Sandton,13,22.5,Mobile
2026-06-01,T1180,P007,Bananas 1kg,Produce,Sandton,8,24.0,Mobile
2026-02-25,T1181,P007,Bananas 1kg,Produce,Sandton,12,24.0,Mobile
2026-02-05,T1182,P005,Cheddar Cheese 500g,Dairy,Soweto,4,95.0,EFT
2026-04-21,T1183,P010,Beef Mince 1kg,Meat,Soweto,1,135.0,Cash
2026-05-16,T1184,P002,Rooibos Tea 100g,Beverages,Soweto,10,55.0,Cash
2026-05-31,T1185,P002,Rooibos Tea 100g,Beverages,Rosebank,9,55.0,Mobile
2026-04-14,T1186,P002,Rooibos Tea 100g,Beverages,Sandton,13,55.0,Mobile
2026-04-13,T1187,P001,Coffee Beans 1kg,Beverages,Rosebank,4,180.0,Card
2026-03-09,T1188,P003,Whole Wheat Bread,Bakery,Soweto,9,28.0,EFT
2026-01-22,T1189,P005,Cheddar Cheese 500g,Dairy,Sandton,3,95.0,Cash
2026-06-30,T1190,P009,Chicken Breasts 1kg,Meat,Pretoria,2,120.0,Card
2026-04-02,T1191,P008,Tomatoes 1kg,Produce,Sandton,14,30.0,Cash
2026-06-16,T1192,P008,Tomatoes 1kg,Produce,Soweto,1,30.0,Card
2026-02-13,T1193,P002,Rooibos Tea 100g,Beverages,Rosebank,5,55.0,Card
2026-03-15,T1194,P010,Beef Mince 1kg,Meat,Sandton,11,135.0,Mobile
2026-03-08,T1195,P002,Rooibos Tea 100g,Beverages,Rosebank,15,55.0,Cash
2026-05-07,T1196,P001,Coffee Beans 1kg,Beverages,Soweto,9,180.0,Cash
2026-05-18,T1197,P007,Bananas 1kg,Produce,Sandton,8,24.0,Cash
2026-01-09,T1198,P001,Coffee Beans 1kg,Beverages,Pretoria,7,180.0,Card
2026-04-23,T1199,P010,Beef Mince 1kg,Meat,Rosebank,3,135.0,Cash
2026-02-12,T1200,P009,Chicken Breasts 1kg,Meat,Soweto,-3,120.0,Mobile
2026-03-13,T1201,P003,Whole Wheat Bread,Bakery,Sandton,8,28.0,Card
2026-03-30,T1202,P002,Rooibos Tea 100g,Beverages,Rosebank,12,55.0,Cash
2026-05-02,T1203,P003,Whole Wheat Bread,Bakery,Soweto,11,28.0,Cash
2026-05-07,T1204,P009,Chicken Breasts 1kg,Meat,Rosebank,2,120.0,Card
2026-04-08,T1205,P002,Rooibos Tea 100g,Beverages,Pretoria,12,55.0,Mobile
2026-06-21,T1206,P010,Beef Mince 1kg,Meat,Soweto,6,135.0,Card
2026-06-24,T1207,P010,Beef Mince 1kg,Meat,Soweto,1,135.0,Cash
2026-01-30,T1208,P007,Bananas 1kg,Produce,Rosebank,15,24.0,EFT
2026-06-02,T1209,P010,Beef Mince 1kg,Meat,Rosebank,11,135.0,EFT
2026-05-17,T1210,P001,Coffee Beans 1kg,Beverages,Soweto,1,180.0,Cash
2026-04-28,T1211,P010,Beef Mince 1kg,Meat,Rosebank,2,135.0,Mobile
2026-02-10,T1212,P010,Beef Mince 1kg,Meat,Pretoria,9,135.0,Card
2026-01-18,T1213,P003,Whole Wheat Bread,Bakery,Soweto,1,28.0,Cash
2026-04-15,T1214,P005,Cheddar Cheese 500g,Dairy,Pretoria,1,95.0,EFT
2026-02-08,T1215,P007,Bananas 1kg,Produce,Sandton,11,24.0,Mobile
2026-05-31,T1216,P002,Rooibos Tea 100g,Beverages,Rosebank,2,55.0,EFT
2026-04-24,T1217,P002,Rooibos Tea 100g,Beverages,Pretoria,14,55.0,EFT
2026-04-23,T1218,P008,Tomatoes 1kg,Produce,Soweto,12,30.0,EFT
2026-04-25,T1219,P010,Beef Mince 1kg,Meat,Pretoria,7,135.0,EFT
2026-03-22,T1220,P003,Whole Wheat Bread,Bakery,Sandton,2,28.0,Cash
2026-02-24,T1221,P005,Cheddar Cheese 500g,Dairy,Pretoria,12,95.0,Cash
2026-06-27,T1222,P006,Full Cream Milk 2L,Dairy,Sandton,3,34.0,Cash
2026-04-09,T1223,P003,Whole Wheat Bread,Bakery,Soweto,10,28.0,Mobile
2026-02-23,T1224,P010,Beef Mince 1kg,Meat,Soweto,9,135.0,Mobile
2026-06-27,T1225,P005,Cheddar Cheese 500g,Dairy,Pretoria,6,95.0,Cash
2026-02-14,T1226,P009,Chicken Breasts 1kg,Meat,Sandton,5,120.0,Cash
2026-03-18,T1227,P003,Whole Wheat Bread,Bakery,Pretoria,14,28.0,Cash
2026-04-24,T1228,P007,Bananas 1kg,Produce,Pretoria,11,24.0,Card
2026-06-06,T1229,P005,Cheddar Cheese 500g,Dairy,Sandton,12,95.0,EFT
2026-05-24,T1230,P005,Cheddar Cheese 500g,Dairy,Pretoria,14,95.0,Cash
2026-06-26,T1231,P009,Chicken Breasts 1kg,Meat,Soweto,15,120.0,EFT
2026-03-31,T1232,P007,Bananas 1kg,Produce,Rosebank,9,24.0,Card
2026-04-18,T1233,P009,Chicken Breasts 1kg,Meat,Pretoria,7,120.0,EFT
2026-03-04,T1234,P009,Chicken Breasts 1kg,Meat,Pretoria,10,120.0,EFT
2026-01-08,T1235,P002,Rooibos Tea 100g,Beverages,Rosebank,4,55.0,Cash
2026-05-06,T1236,P010,Beef Mince 1kg,Meat,Pretoria,7,135.0,Cash
2026-04-22,T1237,P009,Chicken Breasts 1kg,Meat,Soweto,4,120.0,Card
2026-05-20,T1238,P002,Rooibos Tea 100g,Beverages,Sandton,2,55.0,Cash
2026-04-12,T1239,P002,Rooibos Tea 100g,Beverages,Soweto,8,55.0,Card
2026-04-17,T1240,P004,Croissant,Bakery,Soweto,6,22.5,Card
2026-01-25,T1241,P002,Rooibos Tea 100g,Beverages,Soweto,13,55.0,Cash
2026-04-28,T1242,P007,Bananas 1kg,Produce,Sandton,2,24.0,Cash
2026-05-22,T1243,P008,Tomatoes 1kg,Produce,Rosebank,6,30.0,Card
2026-01-23,T1244,P006,Full Cream Milk 2L,Dairy,Rosebank,4,34.0,Mobile
2026-04-30,T1245,P002,Rooibos Tea 100g,Beverages,Pretoria,15,55.0,Cash
2026-01-24,T1246,P001,Coffee Beans 1kg,Beverages,Pretoria,11,180.0,Mobile
2026-01-17,T1247,P008,Tomatoes 1kg,Produce,Sandton,8,30.0,Mobile
2026-05-02,T1248,P006,Full Cream Milk 2L,Dairy,Sandton,12,34.0,Card
2026-04-15,T1249,P003,Whole Wheat Bread,Bakery,Sandton,7,28.0,EFT
2026-05-20,T1250,P009,Chicken Breasts 1kg,Meat,Pretoria,4,120.0,Card
2026-03-31,T1251,P003,Whole Wheat Bread,Bakery,Rosebank,1,28.0,EFT
2026-03-08,T1252,P007,Bananas 1kg,Produce,Sandton,13,24.0,Cash
2026-04-04,T1253,P002,Rooibos Tea 100g,Beverages,Sandton,7,55.0,EFT
2026-03-23,T1254,P007,Bananas 1kg,Produce,Soweto,14,24.0,Cash
2026-06-04,T1255,P009,Chicken Breasts 1kg,Meat,  soweto ,3,120.0,EFT
2026-01-09,T1256,P009,Chicken Breasts 1kg,Meat,Soweto,10,120.0,Mobile
2026-03-16,T1257,P007,Bananas 1kg,Produce,Soweto,12,24.0,Cash
2026-07-01,T1258,P010,Beef Mince 1kg,Meat,Rosebank,8,135.0,EFT
2026-05-13,T1259,P005,Cheddar Cheese 500g,Dairy,Soweto,5,95.0,Card
2026-06-05,T1260,P004,Croissant,Bakery,Rosebank,1,22.5,EFT
2026-06-28,T1261,P006,Full Cream Milk 2L,Dairy,Sandton,12,34.0,EFT
2026-04-14,T1262,P007,Bananas 1kg,Produce,Pretoria,10,24.0,Mobile
2026-06-22,T1263,P002,Rooibos Tea 100g,Beverages,Pretoria,6,55.0,Mobile
2026-05-30,T1264,P006,Full Cream Milk 2L,Dairy,Pretoria,10,34.0,EFT
2026-01-04,T1265,P006,Full Cream Milk 2L,Dairy,Soweto,7,34.0,EFT
2026-05-03,T1266,P001,Coffee Beans 1kg,Beverages,Pretoria,6,180.0,Mobile
2026-01-12,T1267,P010,Beef Mince 1kg,Meat,Soweto,1,135.0,Card
2026-01-30,T1268,P006,Full Cream Milk 2L,Dairy,Soweto,7,34.0,Mobile
2026-03-18,T1269,P005,Cheddar Cheese 500g,Dairy,Rosebank,1,95.0,Cash
2026-01-15,T1270,P002,Rooibos Tea 100g,Beverages,Rosebank,4,55.0,Card
2026-07-01,T1271,P006,Full Cream Milk 2L,Dairy,Pretoria,15,34.0,Card
2026-06-23,T1272,P010,Beef Mince 1kg,Meat,Sandton,9,135.0,EFT
2026-02-02,T1273,P002,Rooibos Tea 100g,Beverages,Pretoria,14,55.0,Cash
2026-01-30,T1274,P002,Rooibos Tea 100g,Beverages,Sandton,15,55.0,Card
2026-05-31,T1275,P007,Bananas 1kg,Produce,Rosebank,1,24.0,Mobile
2026-05-24,T1276,P001,Coffee Beans 1kg,Beverages,Soweto,13,180.0,Mobile
2026-04-05,T1277,P009,Chicken Breasts 1kg,Meat,Pretoria,11,120.0,Cash
2026-01-14,T1278,P007,Bananas 1kg,Produce,Rosebank,5,24.0,EFT
2026-06-13,T1279,P009,Chicken Breasts 1kg,Meat,Pretoria,3,120.0,Card
2026-01-18,T1280,P008,Tomatoes 1kg,Produce,Pretoria,10,30.0,Mobile
2026-04-23,T1281,P003,Whole Wheat Bread,Bakery,Sandton,13,28.0,EFT
2026-01-25,T1282,P003,Whole Wheat Bread,Bakery,Rosebank,7,28.0,EFT
2026-04-29,T1283,P009,Chicken Breasts 1kg,Meat,Rosebank,10,120.0,Cash
2026-03-24,T1284,P003,Whole Wheat Bread,Bakery,Soweto,13,28.0,Card
2026-01-27,T1285,P004,Croissant,Bakery,Pretoria,8,22.5,Card
2026-04-03,T1286,P007,Bananas 1kg,Produce,Sandton,2,24.0,EFT
2026-05-28,T1287,P002,Rooibos Tea 100g,Beverages,Rosebank,5,55.0,Cash
2026-03-29,T1288,P005,Cheddar Cheese 500g,Dairy,Soweto,2,95.0,Card
2026-05-20,T1289,P002,Rooibos Tea 100g,Beverages,Rosebank,12,55.0,Mobile
2026-05-23,T1290,P006,Full Cream Milk 2L,Dairy,Rosebank,13,34.0,Cash
2026-02-08,T1291,P004,Croissant,Bakery,Soweto,9,22.5,Card
2026-04-10,T1292,P005,Cheddar Cheese 500g,Dairy,Pretoria,10,95.0,EFT
2026-02-18,T1293,P004,Croissant,Bakery,Rosebank,13,22.5,EFT
2026-05-02,T1294,P002,Rooibos Tea 100g,Beverages,Rosebank,15,55.0,EFT
2026-05-17,T1295,P001,Coffee Beans 1kg,Beverages,Soweto,9,180.0,Cash
2026-03-12,T1296,P008,Tomatoes 1kg,Produce,Sandton,11,30.0,EFT
2026-02-08,T1297,P005,Cheddar Cheese 500g,Dairy,Pretoria,8,95.0,Card
2026-02-23,T1298,P005,Cheddar Cheese 500g,Dairy,Soweto,2,95.0,Mobile
2026-01-19,T1299,P008,Tomatoes 1kg,Produce,Soweto,6,30.0,EFT
2026-02-03,T1300,P001,Coffee Beans 1kg,Beverages,Sandton,15,180.0,EFT
2026-04-22,T1301,P002,Rooibos Tea 100g,Beverages,Rosebank,15,55.0,Cash
2026-05-19,T1302,P001,Coffee Beans 1kg,Beverages,Soweto,1,180.0,Cash
2026-01-08,T1303,P006,Full Cream Milk 2L,Dairy,Soweto,2,34.0,Mobile
2026-05-14,T1304,P007,Bananas 1kg,Produce,Soweto,11,24.0,Cash
2026-01-11,T1305,P006,Full Cream Milk 2L,Dairy,Pretoria,14,34.0,Mobile
2026-06-26,T1306,P007,Bananas 1kg,Produce,Soweto,1,24.0,EFT
2026-02-21,T1307,P009,Chicken Breasts 1kg,Meat,Soweto,5,120.0,Mobile
